Team,Pantone,CMYK,RGB,Hex
Air Force,286,100-66-0-2,0-85-250,0055fa,8a8d8e
,877,48-38-39-3,138-141-142,8a8d8e
,,,,
Akron,282,100-72-0-56,0-40-94,00285e
,466,22-26-57-0,201-178-128,c9b280
,,,,
Alabama,201,0-100-63-29,181-0-67,7d110c
,,,,
Appalachian State,116,1-18-99-0,255-206-0,ffce00
,,,,
Arizona,200,0-100-65-15,204-0-51,cc0033
,281,100-72-0-38,0-51-102,003366
,,,,
Arizona State,216,39-96-50-28,128-34-73,802249
,123,0-21-88-0,255-179-16,ffb310
,,,,
Arkansas,201,0-100-63-29,181-0-67,7d110c
,,,,
Arkansas State,186,13-100-96-3,205-20-41,cd1429
,Black,0-0-0-100,0-0-0,000000
,,,,
Army,467,6-15-41-11,212-191-145,d4bf91
,Black,40-30-20-100,0-0-0,000000
,,,,
Auburn,289,100-64-0-60,3-36-77,002b5c
,172,0-66-88-0,255-87-31,ff571f
,,,,
Ball State,200,17-99-84-6,194-32-53,c22035
,Black,0-0-0-100,0-0-0,000000
,,,,
Baylor,560,80-0-63-75,13-64-24,0d4018
,1235,0-29-91-0,255-181-23,ffb517
,,,,
Boise State,286,100-66-0-2,0-85-250,0055fa
,172,0-66-88-0,255-87-31,ff571f
,,,,
Boston College,202,0-100-61-43,95-37-36,98002e
,4515,31-30-72-2,180-164-100,bfa464
,,,,
Bowling Green,021,0-82-100-0,255-82-0,ff5200
,4625,30-72-74-80,79-44-29,4f2c1d
,,,,
BYU,648,100-62-0-52,0-34-85,002255,ffffff
,286,100-90-1-1,0-48-164,0030a4
,,,,
Buffalo,2935,100-53-0-0,4-26-155,041a9b
,,,,
California,282,100-68-0-54,0-38-117,002675
,123,0-22-91-0,255-199-44,ffc72c
,,,,
UCLA,285,84-53-0-0,0-115-197,0073CF
,123,0-22-91-0,255-199-44,ffc72c
,,,,
UCF,872,40-47-77-17,141-116-74,8d744a
,Black,0-0-0-100,0-0-0,000000
,,,,
Central Michigan,209,39-90-57-38,113-39-61,71273d
,123,0-22-91-0,255-199-44,ffc72c
,,,,
Charlotte,349,100-0-91-41,0-112-60,00703c
,4505,38-42-83-11,154-131-72,9a8348
,,,,
Cincinnati,186,0-100-81-4,224-1-34,e00122
,Black,0-0-0-100,0-0-0,000000
,,,,
Clemson,Custom,0-72-100-3,234-106-32,f66733,522d80
,268,81-100-0-5,82-45-128,522d80
,,,,
Coastal Carolina,322,100-0-33-35,0-111-113,006f71
,875,37-53-79-7,162-119-82,a27752
,,,,
Colorado,4525,0-7-39-17,210-198-148,d2c694
,Black,0-0-0-100,0-0-0,000000
,,,,
Colorado State,555,75-0-60-55,24-112-49,187031
,872,40-47-77-17,141-116-74,8d744a
,,,,
Connecticut,289,100-76-12-70,25-93-45,192b5f
,430,33-18-13-40,124-135-142,7c878e
,,,,
Duke,287,100-72-2-12,7-54-164,0736a4
,,,,
East Carolina,268,82-100-8-1,89-42-134,592a86
,123,0-21-100-0,255-200-0,ffc800
,,,,
Eastern Michigan,349,90-33-100-25,0-106-52,006a34
,Black,0-0-0-100,0-0-0,000000
,,,,
Florida,2747,100-91-17-6,0-48-135,003087
,1655,0-83-99-0,255-81-19,ff5113
,,,,
Florida Atlantic,295,100-78-26-28,0-45-98,003366
,200,20-100-81-10,193-4-53,cc0000
,,,,
FIU,282,100-68-0-54,0-45-98,002d62
,125,0-26-100-26,197-150-12,c5960c
,,,,
Florida State,207,24-100-76-33,84-1-21,540115
,155,7-20-42-0,205-192-146,CDC092
,,,,
Fresno State,199,8-100-90-1,218-6-46,da062e
,294,100-93-28-22,0-36-106,002e6f
,,,,
Georgia,485,0-95-100-0,167-76-39,da291c
,Black,0-79-0-100,44-42-41,2c2a29
,,,,
Georgia Southern,281,100-70-0-50,9-28-90,000066
,872,40-47-77-17,141-116-74,8d744a
,,,,
Georgia State,286,100-72-0-0,0-57-166,0039a6
,,,,
Georgia Tech,4515,28-33-68-2,187-161-106,bba16a
,539,100-51-0-68,23-31-64,00254c
,124,0-30-100-5,192-166-59,eeb211
,Black,0-0-0-100,0-0-0,000000
,,,,
Hawaii,3435,100-0-81-66,0-87-16,024731
,Cool Gray 4,0-0-0-27,196-193-186,c4c1ba
,Black,0-0-0-100,0-0-0,000000
,,,,
Houston,186,0-100-81-4,204-0-0,cc0000,000000
,,,,
Idaho,874,38-51-73-17,143-111-77,8f6f4d
,Black,0-0-0-0,0-0-0,000000
,,,,
Illinois,282,100-68-0-54,0-38-117,002675
,7417,5-85-87-1,227-78-53,e34e35
,,,,
Indiana,201,0-100-63-29,181-0-67,7d110c,ffe4c4
,,,,
Iowa,116,0-9-80-0,255-255-0,ffe100
,Black,0-0-0-0,0-0-0,000000
,,,,
Iowa State,187,5-100-71-22,167-25-48,a71930
,123,0-21-88-0,253-200-47,fdc82f
,,,,
Kansas,293,100-55-0-5,0-34-180,0022b4
,186,0-100-80-5,232-0-13,e8000d
,,,,
Kansas State,268,83-100-0-12,81-40-136,512888,a8adad
,429,3-0-0-32,168-173-173,a8adad
,,,,
Kent State,281,100-72-0-32,0-49-173,003876
,124,0-28-100-6,240-173-0,f0b310
,,,,
Kentucky,286,100-82-10-2,0-57-166,0039a6
,,,,
LSU,268,90-100-0-0,70-29-124,472f92
,123,0-24-94-0,253-208-35,fdd023
,,,,
Louisiana Tech,1797,0-100-99-5,227-27-35,e31b23
,287,100-70-0-5,0-47-139,002f8b
,,,,
Louisiana Ragin Cajuns,186,12-100-91-3,207-32-47,cf202f
,428,24-17-16-0,193-197-201,c1c5c9
,,,,
Louisiana-Monroe,202,31-95-72-31,135-36-52,872434
,872,40-47-77-17,141-116-74,8d744a
,,,,
Louisville,1787,0-100-99-4,227-27-35,ad0000
,Black,0-0-0-1000,0-0-0,000000
,,,,
Marshall,356,83-40-87-37,35-89-55,235937
,Black,0-0-0-1000,0-0-0,000000
,,,,
Maryland,186,0-91-76-6,157-75-53,f5002f
,116,0-15-94-0,220-206-74,f6d565
,Black,0-0-0-1000,0-0-0,000000
,,,,
UMass,202,31-95-72-31,135-36-52,872434
,,,,
Memphis,280,100-97-8-6,10-22-145,0a1691
,423,20-15-16-0,203-203-203,cbcbcb
,,,,
Miami,3435,95-19-70-72,0-80-48,005030
,1665,0-76-100-0,244-115-33,f47321
,,,,
Miami (OH),186,0-100-81-4,245-0-47,f5002f
,Black,0-13-49-98,5-4-3,050403
,,,,
Michigan,282,100-60-0-60,0-45-95,00274c
,7406,0-18-100-0,255-207-0,ffcb05
,,,,
Michigan State,567,82-0-64-70,24-69-59,18453b,Black,0-0-0-100,0-0-0,000000
,,,,
Middle Tennessee,300,100-44-0-0,0-102-204,0066cc
,292,50-5-0-0,114-198-239,72c6ef
,Black,0-0-0-100,0-0-0,000000
,,,,
Minnesota,202,0-100-61-43,122-0-25,7a0019
,136,0-27-76-0,255-204-51,ffcc33
,,,,
Mississippi,186,13-100-90-4,204-9-47,cc092f
,281,100-89-31-30,0-38-99,002663
,,,,
Mississippi State,202,34-98-96-53,102-0-0,660000
,,,,
Missouri,124,0-25-90-5,241-184-45,f1b82d
,Black,60-50-40-100,0-0-0,000000
,,,,
Navy,275,100-100-32-32,29-23-86,1d1756
,125,27-43-100-5,186-139-0,ba8b00
,,,,
Nebraska,186,0-100-81-4,245-0-47,f5002f
,,,,
Nevada,282,100-68-0-54,0-46-98,003366
,Cool Gray 10,0-0-0-72,128-127-132,807f84
,,,,
UNLV,186,0-100-81-4,203-9-46,cb092e,828a8f
,430,5-0-0-45,130-138-143,828a8f
,Black,0-0-0-100,0-0-0,000000
,,,,
New Mexico,200,0-100-65-15,193-0-55,c10037
,Cool Gray 11,0-0-0-70,94-93-96,5e5d60
,,,,
New Mexico State,208,33-97-57-25,139-35-70,8b2346
,,,,
North Carolina,542,62-22-0-3,115-136-193,6699cc
,,,,
NC State,186,0-100-81-4,203-9-46,cb092e
,Black,0-0-0-100,0-0-0,000000
,,,,
North Texas,356,100-0-100-33,0-166-81,00a651,000000
,,,,
NIU,200,0-100-63-12,175-0-0,cc0000
,422,0-0-0-33,165-167-168,a5a7a8
,Black,0-0-0-100,0-0-0,000000
,,,,
Northwestern,267,80-100-0-0,82-0-99,520063
,,,,
Notre Dame,289,100-66-0-58,0-39-107,00246b,b18d03
,117,0-18-100-15,177-141-3,b18d03
,,,,
Ohio,342,97-33-78-24,0-105-78,00694e
,Black,0-0-0-100,0-0-0,000000
,,,,
Ohio State,200,3-100-63-12,187-0-0,bb0000
,424,56-47-47-15,102-102-102,666666
,,,,
Oklahoma,201,0-100-65-34,132-22-23,841617,ffe4c4
,,,,
Oklahoma State,166,0-63-100-0,255-119-0,ff7700
,Cool Gray 5,0-0-0-30,190-190-190,bebebe
,Black,0-0-0-100,0-0-0,000000
,,,,
Old Dominion,540,100-47-0-47,0-70-119,004677
,877,48-38-39-3,138-141-142,8a8d8e
,,,,
Oregon,567,89-44-77-45,9-76-58,094c3a,fff200
,107,4-0-93-0,255-242-0,fff200
,,,,
Oregon State,1665,0-76-100-0,243-115-33,c34500
,Black,0-0-0-100,0-0-0,000000
,,,,
Penn State,282,100-87-42-52,0-30-65,011e41
,,,,
Pittsburgh,281,100-90-31-35,26-25-69,1a1945
,4515,31-31-68-2,150-146-97,969261
,,,,
Purdue,872,40-47-77-17,141-116-74,8d744a
,Black,0-13-49-98,5-4-3,050403
,,,,
Rice,294,100-93-28-22,0-36-106,002e6f,ffffff
,425,0-0-0-77,94-96-98,5e6062
,,,,
Rutgers,186,0-100-81-4,210-16-52,d21034
,431,11-0-0-64,95-106-114,5f6a72
,Black,0-0-0-100,0-0-0,000000
,,,,
San Diego State,187,0-100-79-20,168-25-51,a81933
,4525,0-7-39-17,210-198-148,d2c694
,Black,0-0-0-100,0-0-0,000000
,,,,
San Jose State,7462,100-60-0-20,0-90-139,005a8b
,117,5-25-100-15,199-153-0,c79900
,,,,
South Alabama,193,0-100-66-13,192-20-60,bf0d3e
,281,100-72-0-32,0-38-99,00205b
,,,,
South Carolina,202,0-100-61-43,115-0-10,73000a
,Black,0-0-0-100,0-0-0,000000
,,,,
USF,343,100-0-69-60,0-87-60,00573c
,4515,0-8-47-23,223-208-165,dfd0a5
,,,,
Southern California,201,7-100-65-32,153-0-0,990000
