TeamName,MercatorCoord
New Mexico State,(-11882431.6904, 3777238.30698)
UTSA,(-10962609.8699, 3407845.82558)
Washington,(-13614551.8352, 6017295.49157)
Boise State,(-12934857.2883, 5374716.26208)
Georgia Southern,(-9104053.0475, 3794639.81477)
Hawaii,(-17580687.181, 2420821.79562)
Boston College,(-7922218.54154, 5182524.15693)
TCU,(-10838967.3115, 3833746.44403)
North Texas,(-10815712.6699, 3899001.88426)
Arizona,(-12351013.0531, 3770602.30333)
Liberty,(-8813720.68356, 4462693.53398)
Oregon,(-13699922.7527, 5444775.91899)
East Carolina,(-8612199.00937, 4220410.39257)
Wake Forest,(-8933890.07387, 4293411.34973)
Penn State,(-8666901.40715, 4956747.47855)
Tulane,(-10031745.156, 3475105.7414)
Kansas State,(-10752783.7617, 4723636.34986)
Army,(-8233645.94898, 5041409.86643)
Florida State,(-9384722.87963, 3538358.23102)
Georgia Tech,(-9394563.52262, 3974529.8753)
Oklahoma State,(-10805415.617, 4292766.41747)
NIU,(-9882699.48975, 5122535.84941)
Duke,(-8788000.35974, 4274871.09467)
Coastal Carolina,(-8796098.80816, 3977262.7951)
Alabama,(-9746065.94675, 3899584.53291)
Fresno State,(-13331410.7104, 4387661.98365)
Louisiana Ragin Cajuns,(-10246035.1757, 3509819.07782)
California,(-13608896.8051, 4534984.86541)
Wisconsin,(-9953376.23445, 5293429.18221)
Maryland,(-8565745.38587, 4693393.55809)
Virginia,(-8740105.1043, 4557492.24602)
Southern Miss,(-9944303.69595, 3653336.04284)
Syracuse,(-8475454.14688, 5288313.67208)
San Jose State,(-13566317.0998, 4457855.79161)
Arkansas State,(-10093305.9476, 4254836.56977)
Texas,(-10879532.134, 3518525.30968)
Mississippi State,(-9884436.0738, 3932472.71665)
Kent State,(-9051777.41462, 5004763.06151)
Bowling Green,(-9308814.11886, 5040005.72982)
New Mexico,(-11869808.0602, 4148427.01333)
Air Force,(-11671136.1649, 4694349.29858)
Florida Atlantic,(-8916869.32373, 3026772.66637)
Missouri,(-10278484.8073, 4685622.63662)
